"portfolioValuationByAssetClass__assetClassGroups__assetClass","portfolioValuationByAssetClass__assetClassGroups__defaultOrder","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioGroup","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__currentUnits","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__averageCost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__price","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__dollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__percentageValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__nativeCurrency","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignExchangeRate","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__cost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignCurrencyPrice","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignCurrencyDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__isManagedAccount","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__isHeldByClient","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetName","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetCode","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetClassification","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetClassType","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalPercentageValue","portfolioValuationByAssetClass__assetClassGroups__value","portfolioValuationByAssetClass__assetClassGroups__percentage","portfolioValuationByAssetClass__totalPortfolioValue","portfolioValuationByAssetClass__totalPortfolioPercentage","portfolioValuationByAssetClass__totalLiabilities","portfolioValuationByAssetClass__netAssets","assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","topAssetsByValue__portfolioValuations__currentUnits","topAssetsByValue__portfolioValuations__averageCost","topAssetsByValue__portfolioValuations__price","topAssetsByValue__portfolioValuations__dollarValue","topAssetsByValue__portfolioValuations__percentageValue","topAssetsByValue__portfolioValuations__nativeCurrency","topAssetsByValue__portfolioValuations__foreignExchangeRate","topAssetsByValue__portfolioValuations__cost","topAssetsByValue__portfolioValuations__foreignCurrencyPrice","topAssetsByValue__portfolioValuations__foreignCurrencyDollarValue","topAssetsByValue__portfolioValuations__isManagedAccount","topAssetsByValue__portfolioValuations__isHeldByClient","topAssetsByValue__portfolioValuations__assetName","topAssetsByValue__portfolioValuations__assetCode","topAssetsByValue__portfolioValuations__assetClassification","topAssetsByValue__portfolioValuations__assetClassType","topAssetsByValue__totalValue","topAssetsByValue__totalPercentage","productEnum","accountDetails"
"","","","37706.534","1.0789907128562917","1.062","40044.339108","7.7097157398509335","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","37706.534","1.0789907128562917","1.062","40044.339108","7.7097157398509335","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","29801.689","1.1196130528038193","1.081","32215.625809","6.202457648231623","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","29801.689","1.1196130528038193","1.081","32215.625809","6.202457648231623","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","50000","1","1","50000","9.62647394311809","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","","","","","","","","","","50000","1","1","50000","9.62647394311809","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","International Fixed Interest","14493.83","1.9560999404574222","2.1919","31769.025977","6.116474015316644","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","84355.6072844","16.24094110958358","","","","","","","International Fixed Interest","14493.83","1.9560999404574222","2.1919","31769.025977","6.116474015316644","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","84355.6072844","16.24094110958358","","","","","","","","","","","","","","","","","","","",""
"","","","28091.076","1.018863072386405","0.9949","27947.8115124","5.3807775858258875","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","28091.076","1.018863072386405","0.9949","27947.8115124","5.3807775858258875","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","23979.338","1.0454000022853007","1.0275","24638.769795","4.743689508441051","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","23979.338","1.0454000022853007","1.0275","24638.769795","4.743689508441051","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","Cash","0","0","0","5694.4","1.096339864433833","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","10694.4","2.058987258745642","","","","","","","Cash","0","0","0","5694.4","1.096339864433833","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","10694.4","2.058987258745642","","","","","","","","","","","","","","","","","","","",""
"","","","0","0","0","5000","0.962647394311809","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","0","0","0","5000","0.962647394311809","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"Other (inc Multi Sector)","3","","","","","","","","","","","","","","","","","","","","58397.2037964","11.243183213940027","","","","","Multi Sector","43818.831","0.800820770412611","0.8994","39410.6566014","7.58771317709104","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","39410.6566014","7.58771317709104","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","16774.05","1.1268000274233116","1.1319","18986.547195","3.655470036848987","","0","null","0","0","False","True","Ironbark Global Diversified Alternatives Fund","DEU0109AU","Managed Funds - Alternative Investments","Other","18986.547195","3.655470036848987","","","","","","","","","","","","","","","","","","","",""
